"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,6677.54022,51711.40674,91.63451,2321.74137,413.75209,60.24048,14.74354
1,6725.74296,1173.05019,167.50565,18327.06694,427.56739,124.69639,12.29918
1,6736.57572,12149.73456,99.16944,2431.28322,844.3617,132.55671,35.5257
1,6711.62028,30720.73809,227.10102,12940.15418,204.63152,45.53237,11.78346
1,6721.19342,48447.55833,79.20929,2444.8683,485.19769,86.33207,15.22023
1,6811.00875,1537.27361,90.08234,3826.02171,553.738,173.69624,24.68172
1,6833.50668,4155.96072,110.2126,9462.84543,636.84423,122.30033,10.38025
1,6835.77889,11629.71768,122.39817,7395.49273,806.71652,158.34549,20.90238
1,6855.39703,20727.78923,115.96002,4612.78583,284.66273,82.3536,15.80489
1,6891.23775,39048.20354,229.25702,29707.6256,396.51908,131.77058,14.86026
1,6902.2574,2520.34835,115.48422,5415.20712,429.00512,80.56054,13.09785
1,7004.2892,17583.57316,204.27776,26818.84978,325.30611,128.05311,12.75126
1,6905.34206,18534.52986,142.84146,3720.50165,346.29064,49.65286,17.78124
1,6928.72998,20152.57745,82.02911,2676.51213,329.93859,84.62709,14.54871
1,6988.08217,37468.8897,147.283,14480.36551,580.95939,113.55778,11.04146
1,6853.8672,39244.63149,175.43086,24175.51003,502.5609,129.94728,10.65023
1,6890.83714,43582.11687,155.29806,13227.36459,304.62611,63.86871,7.66782
1,6930.40712,48801.96897,89.86534,1983.7499,475.70205,104.74943,28.61701
1,7076.21042,6075.32511,281.72057,40703.89179,324.70131,115.31268,14.30199
1,6985.70645,10093.17887,172.9272,24573.28038,625.07149,127.58438,10.00895
1,7040.01328,11125.14869,115.80959,9406.96004,790.96861,140.00022,13.10246
1,7091.70998,40512.34106,192.00571,10832.55965,424.34877,88.42322,19.28385
1,7251.58007,5080.94857,257.02323,24037.33877,361.73349,86.08624,15.10262
1,7117.48286,7251.92007,105.80089,8747.62611,600.82427,95.69331,8.17973
1,6935.42365,8163.59899,275.55527,37078.35621,470.02192,98.83842,12.90971
1,7069.55589,10404.89705,160.34099,11090.99202,780.14704,131.40992,19.58796
1,7099.5062,13877.60685,238.4378,24156.37799,559.03677,101.28177,15.21129
1,6807.20934,15549.09741,207.73572,6994.82436,575.38349,79.28099,31.2009
1,7043.4761,21131.97607,99.42206,3297.90303,273.55155,62.03933,12.49807
1,7363.49921,33690.14757,220.03668,18537.87266,522.58328,101.17877,16.87583
1,7078.0453,35388.82025,80.71969,4082.76658,534.66279,93.56311,10.26701
1,7240.85035,42359.34208,635.17475,244707.40839,0.00002,105.63576,11.05616
1,7164.42326,6301.499,118.25929,9067.94319,628.21141,103.06954,10.47224
1,7039.3501,13156.35876,204.96849,16092.77275,721.03668,113.30319,18.89093
1,7103.19262,13500.23407,621.15306,358290.7626,0.00001,120.38345,8.24701
1,7133.92079,26031.80268,170.14681,16239.77874,263.22725,61.2365,7.1842
1,7221.68727,28425.3733,134.03643,4371.10294,289.75024,57.68957,15.53329
1,7181.51413,32342.43285,192.46348,18635.3232,454.11333,97.30882,12.43442
1,7146.553,34507.718,90.11498,3576.56842,498.46716,71.4444,11.02126
1,7035.90083,36257.14144,177.51228,11699.77359,583.20202,94.21431,16.31382
1,7214.56198,8708.1644,158.33488,20845.22746,600.18427,169.21101,13.10422
1,7207.94063,16761.45851,139.64484,8586.69432,678.77433,103.5839,15.27548
1,7361.00057,29505.21824,253.23158,44280.80785,106.38152,87.63248,8.1721
1,7518.18978,33761.19599,411.99819,127153.24387,236.99952,94.78091,8.09565
1,7327.80641,5059.04811,340.3382,53303.32247,257.06332,91.01917,12.59993
1,7320.4108,31740.75322,227.17776,30767.5762,313.79318,104.70681,11.24906
1,7465.03561,50599.95331,344.91157,141434.104,274.8644,162.73033,8.69904
1,7250.22267,16319.01109,393.86167,80972.40035,312.97703,90.80795,11.08793
1,7431.18983,27347.78236,337.24315,43079.9584,115.18144,85.9954,14.45091
1,7347.93629,31828.94983,132.77606,8171.37389,559.7671,111.25429,15.61826
1,7432.20913,37889.76896,131.58305,8828.61047,662.56824,131.45478,16.75603
1,7499.21934,50849.20363,392.03881,231332.44842,0.00001,136.44441,5.79904
1,7500.60504,52358.30219,314.68029,77128.47763,194.36788,98.48613,8.10296
1,7508.70358,3468.38843,197.78485,17673.99872,483.54766,92.11467,13.09726
1,7368.35672,19742.65825,224.50675,19339.30816,235.39887,64.19363,10.80435
1,7486.45399,36881.49144,145.51107,11649.7011,580.69727,76.79259,9.14148
1,7382.52318,42392.5686,276.72382,34028.89155,212.015,74.62568,10.77711
1,7358.68896,6682.69511,301.94732,29585.19465,425.21367,70.6167,13.90788
1,7704.58418,18513.75284,287.22754,33856.42123,355.18559,76.39744,11.91768
1,7400.50223,20407.18446,243.45569,11538.96086,241.41684,58.73735,19.30673
1,7577.0416,21883.06956,72.67488,1768.2861,312.31066,67.60739,14.13153
1,7549.3352,35240.8286,117.06274,5115.87824,547.8323,71.92026,12.72968
1,7515.74565,38214.0917,210.1489,22979.26298,444.98079,85.07971,10.5285
1,7600.03245,49590.16668,212.3452,15024.80522,628.5012,89.05388,17.09787
1,7694.86428,12468.86814,250.07385,38505.68418,738.738,117.52768,12.17848
1,7609.13914,15589.63967,198.76713,18715.81228,482.12265,90.52179,12.28542
1,7681.67509,27652.13648,199.11228,19359.33354,305.26422,86.54225,11.41134
1,7643.70102,30810.76258,124.27336,12364.60054,260.55914,60.5511,5.12083
1,7580.92682,33790.89037,152.78733,9339.65094,726.85562,93.02531,15.04877
1,7630.54798,33903.18959,232.90355,24141.25313,535.67646,101.06474,14.50432
1,7486.86534,8984.46718,252.84965,13202.01435,524.47966,91.90931,28.27193
1,7802.05783,11911.42832,272.36965,35415.82669,536.35383,93.76635,12.54077
1,7812.25897,13950.42251,418.20345,53667.41296,417.18139,79.57393,16.46985
1,7718.72702,17409.63059,209.94944,20748.61878,540.70809,99.80827,13.58352
1,7994.28491,18912.26112,196.50227,21115.52644,493.92955,142.3137,16.6289
1,7917.81295,33006.71706,342.58138,41399.45455,390.03358,83.85606,15.12578
1,7890.93867,53093.78181,417.81369,104572.68799,182.53774,86.76724,9.25955
1,7905.46642,12980.73995,213.51206,29235.35234,744.31195,118.59703,11.83845
1,7900.48824,13107.65257,172.18866,18271.01023,758.89533,120.25284,12.56094
1,7860.66042,33397.66916,78.08294,2031.98152,745.82818,122.11072,25.07987
1,7882.30394,5455.23882,185.7521,10911.59892,392.15347,68.52898,13.98605
1,7849.64187,21356.6565,171.09146,11820.97186,241.54509,63.03958,10.17334
1,8056.48093,38893.31044,320.29598,40130.83295,259.60595,81.00281,13.21045
1,7962.28788,7961.17969,296.1023,20385.46749,378.09582,62.52005,17.16879
1,8029.5489,32086.43379,128.80977,5833.20519,560.47053,79.58213,14.81087
1,8125.12875,50917.25599,309.53097,65360.43434,800.62299,145.77628,13.55841
1,8005.42538,6473.45671,208.81036,8899.43262,362.45998,66.12794,20.75564
1,7884.34556,18325.45342,333.75334,37945.2077,329.10957,90.70665,16.9155
1,8122.87067,34744.49785,155.98989,11569.86636,577.51405,84.40158,11.52711
1,8138.11768,37376.12537,180.42929,11138.95759,614.91118,104.89731,19.65556
1,8119.83129,16895.70191,199.34447,24508.82451,555.47232,93.37097,9.75857
1,8158.43058,18988.96598,130.83212,15594.69332,548.11187,132.74151,9.51665
1,8195.47201,33750.75218,109.29851,3141.65462,725.02664,105.56661,26.40673
1,8238.69772,36282.1752,145.74448,15715.37519,587.69409,78.18444,6.95959
1,8224.01917,52139.30146,180.78194,17558.03069,683.77261,95.12407,11.41863
1,8380.60161,450.24179,266.19522,12876.2139,266.33264,53.74638,18.92537
1,8329.30591,14048.7063,172.74116,23743.32405,617.09501,120.59153,9.77896
1,8240.09857,33063.54818,80.17696,3028.78161,630.6155,117.37746,17.02223
1,8175.00274,2967.28183,269.87834,13189.8547,316.69312,60.11483,21.17923
1,8108.76342,37374.70823,255.45309,20403.46168,610.50108,113.10521,22.97416
1,8406.56152,15716.00776,87.48844,3294.68807,525.37966,108.77375,17.06379
1,8234.93143,31905.30058,332.9849,39206.27427,295.48476,66.03335,11.96265
1,8207.7433,33699.41051,184.62684,10614.79387,608.93565,117.06519,24.04238
1,8443.48459,35326.10787,113.35319,6304.87801,613.39241,126.38015,16.91706
1,8381.59889,38244.80158,135.36097,5269.37597,631.04229,95.7628,21.61566
1,8443.02395,38582.24296,269.85815,22299.29959,474.93624,88.2038,18.33648
1,8500.09631,51066.59714,567.90514,332725.43055,288.4163,122.51324,7.56409
1,8578.81652,16130.66727,116.38613,5998.71434,491.42741,98.84509,14.67471
1,8462.42223,32243.26778,141.09397,3666.43468,484.64699,76.90615,27.0449
1,8671.71919,34236.32011,114.05011,5128.38926,618.59204,116.74396,19.43256
1,8389.96482,28644.41211,729.7205,208549.52471,0,54.21672,8.92966
1,8747.17705,12999.00463,123.87352,12159.83692,998.34316,123.04097,10.1779
1,8687.30476,19207.74287,193.08727,18413.92444,387.36857,64.71232,8.53476
1,8671.06973,19979.13912,255.3114,20891.57152,222.58032,54.90531,11.0671
1,8945.72061,37355.88559,129.75257,3679.06797,638.24331,110.83805,32.91375
1,8935.15219,14627.62107,161.70655,27963.87542,622.5674,98.53255,6.02754
1,8750.42059,36463.86057,268.69773,19973.18895,426.0938,91.23738,20.96845
1,8931.8605,37288.19262,211.38233,12435.74724,545.11681,101.44005,23.24679
1,9137.32663,17168.48308,254.98052,37550.39001,267.89212,109.22649,12.07203
1,9280.89535,35786.12847,267.35731,18935.77442,438.51182,77.94281,18.74883
1,9082.90624,38942.70016,143.48303,11809.17881,483.4286,78.64306,8.98486
1,9386.48467,50965.5715,89.41602,3901.11896,1133.31254,152.36429,20.96282
1,9224.63943,3225.11395,122.41381,3342.17881,352.54107,52.23578,15.45659
1,9225.42354,9134.88839,105.03995,2515.19807,433.83662,56.92059,16.64029
1,8998.75116,12961.71666,236.36008,35783.00614,571.72,112.90042,11.27093
1,9091.64426,13398.21353,230.99393,24978.78846,587.16713,102.71463,14.01877
1,9199.58453,16679.0527,174.01486,29563.24908,308.56208,115.24707,7.64455
1,9229.67184,35266.70994,233.12928,12427.20173,490.7323,74.54847,20.81298
1,9233.13354,41246.55367,134.88797,3917.21476,301.22335,44.07066,13.50756
1,9344.96225,37001.08017,117.07095,10852.31208,535.54529,95.24685,7.97245
1,9272.9348,37930.51479,145.32662,7321.68482,480.00883,81.85112,15.33435
1,9297.98746,51997.84023,404.39399,78835.54632,256.00543,69.24583,9.22438
1,9485.48822,1765.2779,157.07265,4793.62984,363.58746,62.47418,20.80154
1,9532.9634,6662.5777,344.65814,37008.28835,235.22904,54.16227,11.19066
1,9232.10348,38858.33811,290.95781,33894.14521,329.02632,113.17948,17.94602
1,9468.25141,14300.34724,214.45201,18085.80146,528.65748,102.88015,16.7157
1,9552.79803,35818.6887,250.97419,25685.45331,401.38435,84.79454,13.30026
1,9547.02396,50852.50372,231.99032,37775.53062,877.5876,119.75941,10.91105
1,9583.25533,12513.85936,199.9299,12289.7178,506.18254,83.58279,17.42485
1,9460.52056,38646.78242,206.36408,8922.21463,424.47068,69.8594,21.35073
1,9719.18283,7705.02279,111.28925,2497.5642,564.61657,78.77801,25.70697
1,9937.24084,4712.90725,102.40167,2090.75381,357.90402,48.14031,16.17922
1,9991.77615,37884.04214,147.63474,13648.9233,480.3737,85.69667,8.94246
1,9932.41326,14043.78011,281.20851,23583.41367,371.74501,78.59129,16.79745
1,10106.99306,39717.67522,141.98588,11135.8463,263.43535,50.64724,6.15816
1,10182.79602,12512.58234,126.34646,19050.2476,452.41179,77.83566,4.39371
1,10278.06766,13275.27249,113.67606,6726.58858,512.2111,85.22476,10.84133
1,10423.14232,50708.64498,234.4324,24087.84421,919.24898,123.89793,17.99594
1,10315.25225,399.26986,219.56649,26253.96529,443.19334,90.26535,10.65118
1,10383.48627,1825.79158,163.05864,7798.95424,483.4222,88.85587,19.51629
1,10449.33373,848.27515,206.66903,23014.12297,389.98163,75.72069,9.09367
1,10502.907,2009.43686,246.45857,17815.42665,383.39216,76.15258,16.59099
1,10787.6683,5878.54368,457.95649,97729.85298,244.60684,73.75729,10.12614
1,10499.47982,48939.67061,293.35355,14703.11002,222.01573,53.61027,20.03662
1,10758.56957,11592.0883,196.2198,9405.65956,391.37107,74.78339,19.63028
1,10692.6114,12913.27821,95.16341,3635.64309,502.48517,118.24727,19.6595
1,10638.54831,42119.93776,85.17905,1658.02716,275.58117,44.70903,13.46103
1,10639.10196,42733.18201,128.94504,4194.15756,297.00786,48.95714,12.82604
1,10704.31849,44660.5571,208.0498,12027.82538,181.78189,53.80315,12.53236
1,10748.56425,47851.10623,257.77155,15933.24924,207.44219,51.40407,13.80266
1,10721.6479,46072.76602,149.3873,4740.80054,215.90393,35.24407,11.02158
1,10712.10393,50731.41449,706.75426,612789.6246,0,155.81531,8.05434
1,10802.21319,10824.73423,215.84145,22226.73997,321.96555,70.14304,9.50989
1,10854.95654,12076.02084,129.06871,6189.66938,432.42615,88.05138,15.47947
1,11102.47662,626.25326,207.5878,11794.62849,415.82971,103.59292,24.14257
1,10925.27263,9252.15873,206.17037,14825.12704,358.11754,70.49759,13.01657
1,10960.12548,43269.49906,101.15566,2957.98237,260.69117,49.20608,11.49465
1,11024.58663,50865.8345,146.48646,14540.55429,936.81977,126.63693,12.10921
1,11130.60047,2097.04577,177.93973,13921.07216,311.35044,70.033,10.34165
1,11337.85992,6252.6022,238.8988,19670.1586,630.57397,93.40821,17.28743
1,11141.57257,11595.29627,102.68117,4609.44168,453.62339,95.39068,14.50657
1,11057.3022,639.15676,329.82883,44437.07339,271.92047,97.41897,15.15745
1,11456.77309,3168.37493,183.94274,10407.32588,381.20861,81.96934,17.12786
1,11310.40036,47463.59986,84.66675,1769.54699,304.40581,73.45266,20.21815
1,11355.05187,48625.04673,83.44364,3340.1714,339.92614,64.70125,9.30642
1,11259.28533,1357.51033,198.02061,13479.95385,292.77017,68.31222,12.81909
1,11263.83172,6258.34409,443.98251,188184.74075,0,109.47871,7.32862
1,11339.9461,7787.29118,516.03774,237426.52674,10.13298,113.53528,8.11448
1,11147.87871,11581.31125,144.11301,7482.38797,425.69249,103.10308,18.52555
1,11111.35126,50860.07482,188.65375,21224.12244,822.04888,121.33568,13.05289
1,11425.62697,5399.40583,157.38221,9482.60934,600.49148,117.28939,19.72772
1,11514.06903,6989.47994,246.64625,37569.41429,594.72462,134.00394,13.8179
1,11452.16276,43163.64895,107.25688,2593.0797,228.4165,38.88688,11.65476
1,11428.92237,44425.2774,119.15038,4779.85964,245.7028,52.45086,10.38408
1,11456.23619,7525.98156,482.35569,255482.96247,0.00001,124.26209,7.21619
1,11498.7896,8837.66954,194.59404,14185.60712,321.07421,80.3575,13.7994
1,11406.84993,11311.22313,104.90077,3730.36536,386.80886,78.6863,15.42236
1,11589.38264,47136.34795,88.35169,2675.113,273.28087,79.39283,15.6798
1,11704.18318,46238.47478,191.14902,11699.08086,201.43239,81.71133,16.39094
1,11700.18032,3179.87128,116.85056,6338.30616,440.22735,110.92961,15.68197
1,11676.07318,5050.75878,653.55607,334984.76776,0,148.62016,11.98136
1,11849.50198,48309.05243,130.51148,4154.9763,336.1351,71.60479,19.15984
1,11850.52976,4748.86356,189.64892,22214.36236,484.89088,93.24986,9.74592
1,11884.39549,43885.69382,132.86438,4166.50608,241.69464,47.57685,13.29534
1,11873.48887,45195.10795,106.17272,2249.71131,209.6122,38.61971,13.04597
1,11995.76572,4025.55829,225.0045,24455.61817,393.68574,88.00519,11.69026
1,11818.84661,7094.20749,243.55297,42840.79975,446.25147,106.07122,9.41345
1,11851.33192,7549.53445,245.52699,37809.91696,342.74626,108.83598,11.09446
1,11961.81859,5043.71088,259.5111,31003.9479,409.08175,100.1175,13.87107
1,12047.24551,6375.99137,188.44686,17010.25912,414.88067,73.70962,9.97028
1,12066.99521,46503.9024,147.7547,5378.06855,334.47606,71.01769,18.69729
1,12055.20112,47855.18463,236.34791,10688.58328,210.10686,42.06114,14.225
1,12119.59783,51791.03429,305.29183,17649.84226,358.68943,59.17545,19.92244
1,12221.52533,8597.17337,292.14521,18374.93648,280.98422,62.75889,18.59671
2,5343.13193,44926.67113,213.65163,11182.35659,231.9876,51.82066,13.66998
2,5519.85265,39046.8278,334.04886,27150.07294,257.4626,49.96135,13.19803
2,5489.26894,1046.62723,183.07288,6234.82038,303.82078,43.23537,15.10637
2,5586.55707,51677.95263,136.27228,3985.47507,368.75688,50.24189,15.35892
2,5827.89278,11724.05265,227.11213,13872.91892,557.98781,93.23858,22.09392
2,5547.30928,45019.61821,414.30376,58464.75971,93.74223,54.14734,10.24004
2,5674.45003,49609.41639,280.93903,16991.2063,289.49531,55.19732,16.42008
2,5788.36594,35860.28848,123.55633,3932.12875,364.72605,52.06533,13.36757
2,5682.09466,45230.38901,184.81262,5207.62502,275.22641,52.43949,22.14725
2,5862.4245,36637.0693,211.76036,10092.59321,345.65226,57.47649,16.42798
2,6172.09519,4259.94053,256.36573,30569.77985,468.35409,87.52196,12.04148
2,5920.60603,5475.59116,221.91176,18846.97053,493.61598,79.70792,13.36182
2,5981.39061,6812.59989,218.86966,23193.70523,630.23476,98.06341,12.97133
2,5931.76344,10546.88314,189.70001,17580.13066,599.93963,117.33647,15.38986
2,5863.39808,11865.7162,122.94212,5399.50175,632.11243,89.81137,16.46119
2,5915.49148,15616.93184,114.4228,5573.70232,396.65484,63.34155,9.91536
2,5926.30675,34936.92427,163.30926,6227.7492,361.94542,61.91864,17.16677
2,5885.24759,36494.52218,188.00338,7620.4877,375.54266,58.85082,17.59261
2,5841.92246,43851.05185,180.68196,9744.35104,238.49175,64.06111,13.87928
2,6189.56309,4173.26314,326.56009,48710.15908,422.93278,99.15918,13.80848
2,6070.60794,10004.84619,521.86325,226476.29593,0.00001,95.62772,7.36068
2,6023.49257,16888.44927,94.89863,1823.91034,366.77402,52.55295,17.48019
2,5960.37859,18810.73298,133.38579,9437.36068,365.75232,61.83032,7.7393
2,5951.01148,25691.90314,141.25647,5004.56628,223.07108,40.71762,10.77211
2,6202.2244,38678.52504,262.78523,21319.02678,345.75268,68.63772,14.23645
2,6252.53675,40452.18874,76.72056,2823.09821,546.6775,135.71043,19.43792
2,6351.6268,2658.58396,272.00509,25822.66833,314.23591,65.22897,12.00235
2,6436.76576,8110.1785,109.09891,4815.79321,636.04335,96.55396,15.76476
2,6125.16184,9414.31203,164.39867,6342.34598,675.85145,100.02307,27.37294
2,6184.97518,13453.05252,196.01748,28551.72573,473.10098,99.31147,8.62683
2,6052.79174,17551.47879,185.42643,11075.56182,367.99232,76.56859,15.30302
2,6089.97077,32124.01032,99.57979,3511.53251,421.20414,68.77279,13.02044
2,6168.09611,33873.0201,162.03997,7956.80884,394.80156,57.1583,12.2949
2,6256.48087,46994.09425,192.06863,11475.32371,273.00175,75.00526,15.50865
2,6170.88771,6743.96222,331.32432,86947.17768,417.14186,138.18895,11.08441
2,6212.46691,9058.15278,215.61291,39753.66349,454.98091,118.28968,8.8821
2,6199.64265,12661.81566,125.49419,10131.79589,680.68998,88.39644,9.05419
2,6067.46294,46003.14485,346.84877,31036.86782,192.80793,55.85132,13.86729
2,6277.84962,46319.22793,140.28447,9563.12274,337.1889,68.58426,9.27967
2,6319.88057,52230.1467,192.17941,8701.75511,383.44643,57.21235,15.67206
2,6333.93077,14135.57175,166.86033,16294.24208,528.49103,89.96273,9.9673
2,6347.47277,33204.39644,204.17834,32403.17063,350.32605,119.58639,9.87775
2,6151.22558,40329.24137,203.05939,17914.59115,338.9834,122.78663,18.04957
2,6363.04126,48451.41767,190.22649,22690.5956,294.03017,91.66723,9.44282
2,6307.73041,4200.62361,180.07623,21184.16256,562.87891,109.73541,10.82256
2,6419.21311,5702.01144,133.29108,6096.12098,676.76855,95.29056,18.0677
2,6629.66085,39659.44024,140.8504,9481.44768,517.13719,139.71456,18.90909
2,6282.04976,46951.15851,167.73804,8171.30959,311.45382,81.62891,18.11309
2,6413.64552,5030.77078,139.64658,11890.80244,565.64955,88.41766,9.48767
2,6472.13291,8096.0752,146.59352,8801.60782,575.7019,122.33147,19.29236
2,6482.68234,28863.36285,211.54742,11793.79034,222.04741,52.25486,12.83047
2,6446.12161,37319.71335,143.90043,8685.04263,420.17577,86.65208,13.43604
2,6571.74944,38847.05776,164.99549,20561.98436,499.65374,150.61173,12.83068
2,6442.67774,41560.63707,93.45303,4311.82494,325.97696,71.39358,9.80323
2,6415.71893,48557.61761,183.72601,15059.72947,385.10555,98.97796,14.25878
2,6729.06201,50829.23276,527.54232,224110.04366,48.63845,84.98358,6.78346
2,6507.08457,1975.28422,116.91625,4140.32115,408.80781,63.63785,13.89152
2,6768.76811,35621.28113,250.79161,58556.6664,415.95808,138.26001,9.48295
2,6506.57449,36970.0911,95.08822,4476.68528,506.92437,101.42598,13.72791
2,6482.59449,44756.87193,104.36252,5695.60769,263.26962,40.8734,5.45627
2,6736.17994,15808.8076,229.82395,29429.32229,489.21641,165.13562,18.84271
2,6641.06961,17414.89953,109.25247,5289.82505,421.37872,63.93673,9.65422
2,6729.97896,26219.19739,187.02037,8810.53237,215.93821,71.85358,18.33601
2,6632.32856,27932.61206,132.10438,4698.08007,297.04135,52.99664,12.96677
